Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
0.2202	220.3	3.96	0.11	12.47	-1.53
0.2209	221.0	3.98	-0.21	11.82	-2.18
0.2217	221.8	4.20	-0.38	11.49	-2.51
0.2225	222.6	4.67	-0.42	11.42	-2.58
0.2235	223.6	4.15	-0.63	10.98	-3.02
0.2242	224.3	4.08	-0.67	10.91	-3.09
0.2253	225.4	4.72	-0.52	11.22	-2.78
0.2261	226.2	4.33	-0.52	11.22	-2.78
0.2271	227.2	4.14	-0.49	11.27	-2.73
0.2279	228.0	4.15	-0.28	11.69	-2.31
0.2292	229.3	3.99	0.01	12.26	-1.74
0.23	230.1	4.01	0.02	12.29	-1.71
0.2308	230.9	3.35	-0.02	12.21	-1.79
0.232	232.1	4.09	-0.14	11.97	-2.03
0.2333	233.4	4.28	-0.03	12.19	-1.81
0.2341	234.2	4.40	-0.05	12.15	-1.85
0.2349	235.0	3.64	0.00	12.26	-1.74
0.2361	236.2	3.42	0.19	12.64	-1.36
0.2368	236.9	3.91	0.47	13.19	-0.810000000000001
0.2377	237.8	3.63	0.61	13.46	-0.539999999999999
0.2385	238.6	3.45	0.51	13.26	-0.74
0.2397	239.8	3.18	0.66	13.56	-0.44
0.2407	240.8	3.76	0.57	13.4	-0.6
0.2415	241.6	3.40	0.52	13.29	-0.710000000000001
0.2423	242.4	3.91	0.27	12.8	-1.2
0.2431	243.2	3.64	0.21	12.68	-1.32
0.2438	243.9	4.02	-0.08	12.09	-1.91
0.2447	244.8	3.96	-0.31	11.63	-2.37
0.2457	245.8	4.40	-0.52	11.21	-2.79
0.2465	246.6	4.70	-0.63	11	-3
0.2473	247.4	4.36	-0.71	10.83	-3.17
0.2481	248.2	4.37	-0.80	10.65	-3.35
0.249	249.1	4.25	-0.78	10.69	-3.31
0.2498	249.9	4.70	-0.84	10.57	-3.43
0.2506	250.7	4.64	-0.82	10.6	-3.4
0.2514	251.5	4.57	-0.84	10.57	-3.43
0.2522	252.3	4.31	-0.77	10.72	-3.28
0.2529	253.0	4.31	-0.77	10.7	-3.3
0.2536	253.7	4.44	-0.72	10.81	-3.19
0.2544	254.5	4.67	-0.69	10.88	-3.12
0.2552	255.3	4.38	-0.69	10.86	-3.14
0.2561	256.2	4.20	-0.70	10.85	-3.15
0.2569	257.0	4.33	-0.58	11.09	-2.91
0.2577	257.8	4.47	-0.50	11.25	-2.75
0.2585	258.6	4.25	-0.56	11.12	-2.88
0.2593	259.4	4.12	-0.57	11.11	-2.89
0.2602	260.3	4.41	-0.55	11.15	-2.85
0.2609	261.0	4.36	-0.34	11.56	-2.44
0.2615	261.6	4.39	-0.36	11.54	-2.46
0.2623	262.4	3.55	-0.47	11.31	-2.69
0.2631	263.2	4.16	-0.48	11.3	-2.7
0.2638	263.9	4.80	-0.40	11.45	-2.55
0.2644	264.5	4.38	-0.72	10.82	-3.18
0.2652	265.3	4.14	-0.80	10.66	-3.34
0.2658	265.9	4.62	-0.65	10.96	-3.04
0.2666	266.7	4.43	-0.66	10.92	-3.08
0.2675	267.6	4.29	-0.71	10.84	-3.16
0.2683	268.4	4.44	-0.65	10.94	-3.06
0.2693	269.4	4.29	-0.71	10.84	-3.16
0.2703	270.4	4.44	-0.75	10.75	-3.25
0.2712	271.3	4.61	-0.63	10.99	-3.01
0.2719	272.0	4.44	-0.52	11.21	-2.79
0.2729	273.0	4.03	-0.35	11.55	-2.45
0.2737	273.8	3.92	-0.30	11.65	-2.35
0.2745	274.6	3.86	-0.26	11.73	-2.27
0.2756	275.7	4.43	-0.21	11.83	-2.17
0.2766	276.7	4.31	-0.12	12.01	-1.99
0.2776	277.7	3.85	-0.18	11.89	-2.11
0.2789	279.0	3.61	-0.05	12.14	-1.86
0.2803	280.4	4.08	0.01	12.27	-1.73
0.2815	281.6	3.99	0.09	12.43	-1.57
0.2827	282.8	4.10	-0.01	12.23	-1.77
0.2841	284.2	3.58	0.09	12.43	-1.57
0.285	285.1	3.95	0.02	12.3	-1.7
0.286	286.1	3.73	0.06	12.38	-1.62
0.2872	287.3	4.22	0.10	12.44	-1.56
0.2886	288.7	3.96	0.13	12.51	-1.49
0.2896	289.7	3.47	0.03	12.31	-1.69
0.291	291.1	3.83	-0.01	12.23	-1.77
0.2922	292.3	4.08	-0.09	12.06	-1.94
0.2934	293.5	4.35	-0.26	11.73	-2.27
